cdf_offer_id,cdf_merchant_id,offer_name,merchant_description,category,tags_with_attributes,offer_url,valid_from,valid_to,online,offer_title,Tags,city,country,brand_logos,curated_image,merchant_banner_image,offer_image,Wael,Salama,Khaleed
25466,LL67,Halo Halo Restaurant - Jannah Marina Hotel Apartments,"Enjoy exotic delights and a rich culinary experience at our vibrant and spirited signature pan Asian, Halo Halo Restaurant.",dining,"{dining-type=[casual-dining], channel=[dine-in, take-away], price_range=[average-pricing], cuisine=[asian-cuisine], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly], customer_service_tags=[delivery-services], restaurant-type=[restaurant]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at Halo Halo Restaurant,restaurant|average-pricing|delivery-services|accepts-cards|dine-in|large-group-friendly|asian-cuisine|casual-dining|take-away|couple-friendly,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL67_Halo_Halo_Restaurant_Jannah_Marina_Hotel_Apartments_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL67_Halo_Halo_Restaurant_Jannah_Marina_Hotel_Apartments_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL67_Halo_Halo_Restaurant_Jannah_Marina_Hotel_Apartments_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL70_Heroes-CrownePlazaAbuDhabi_1.webp.webp,,,
25467,LL119,Sahara Cafe - Jannah Hotel Apartment And Villas,"Sahara Cafe is the perfect blend of modern and comfortable aesthetics offering signature experiences at affordable prices that guarantee the satisfaction and smile of the customers. Discover distinct Shisha flavors, a creatively curated menu offering Arabic cuisine and delectable treats, and various beverages such as fresh juices, teas & coffee.",dining,"{famous-for=[breakfast], design=[basic-design], dining-type=[fast-casual-dining], channel=[dine-in], cuisine=[general], suitable_for_tags=[couple-friendly], restaurant-type=[cafe]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at Sahara Cafe,breakfast|cafe|general|basic-design|fast-casual-dining|dine-in|couple-friendly|soups|dessert|sandwiches,Ras Al Khaimah,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL119_Sahara_Cafe_Jannah_Hotel_Apartment_And_Villas_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL119_Sahara_Cafe_Jannah_Hotel_Apartment_And_Villas_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL119_Sahara_Cafe_Jannah_Hotel_Apartment_And_Villas_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL12_1_Ashas_Offer.webp.webp,y,,
25478,LL66,Halo Halo - Edge Creekside Hotel,"Enjoy exotic delights and a rich culinary experience at our vibrant and spirited signature pan Asian, Halo Halo restaurant.",dining,"{design=[other-design], dining-type=[casual-dining], channel=[online-order, dine-in, take-away], price_range=[average-pricing], cuisine=[asian-cuisine], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly], customer_service_tags=[delivery-services], restaurant-type=[restaurant]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at Halo Halo Restaurant,restaurant|average-pricing|online-order|delivery-services|other-design|accepts-cards|dine-in|large-group-friendly|asian-cuisine|casual-dining|take-away|couple-friendly|thai-cuisine|fusion-cuisine|chinese-cuisine|philippine-cuisine,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL66_Halo_Halo_Edge_Creekside_Hotel_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL66_Halo_Halo_Edge_Creekside_Hotel_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL66_Halo_Halo_Edge_Creekside_Hotel_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL7_Aqua_Pool_Wyndham_Dubai_Deira_1.webp.webp,,,
25479,LL55,Feta Restaurant - Edge Creekside Hotel,"Indulge in a tempting Mediterranean experience at Feta Restaurant featuring al fresco all-day endless eats offering a wide selection of dishes at the daily buffet service, alongside an a la carte menu. Enjoy the beautiful views of creek at the outdoor terrace shisha lounge.",dining,"{amenities=[outdoor-seating, wifi], famous-for=[breakfast], design=[modern-design], dining-type=[casual-dining], channel=[take-away, dine-in], cuisine=[mediterranean-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly], customer_service_tags=[delivery-services, booking-and-reservations], restaurant-type=[restaurant]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at FETA Restaurant,outdoor-seating|mediterranean-cuisine|accepts-cards|large-group-friendly|take-away|couple-friendly|modern-design|breakfast|restaurant|average-pricing|delivery-services|booking-and-reservations|wifi|dine-in|casual-dining,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL55_Feta_Restaurant_Edge_Creekside_Hotel_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL55_Feta_Restaurant_Edge_Creekside_Hotel_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL55_Feta_Restaurant_Edge_Creekside_Hotel_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL56_FetaRestaurant-JannahMarinaHotelApartments_1.webp.webp,,,
25523,LL74,Il Forno,Experience the finest Italian,dining,"{amenities=[outdoor-seating, wheelchair-access], famous-for=[breakfast], dish-speciality=[pasta], dining-type=[fast-food], channel=[take-away, online-order, dine-in], cuisine=[italian-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly], customer_service_tags=[delivery-services], restaurant-type=[restaurant]}",,12-01-2021,31-07-2025,FALSE,Get 15% off at Il Forno,outdoor-seating|accepts-cards|italian-cuisine|wheelchair-access|large-group-friendly|take-away|breakfast|restaurant|average-pricing|online-order|delivery-services|dine-in|pasta|fast-food|booking-and-reservations,Abu Dhabi,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL74_Il_Forno_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL74_Il_Forno_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL74_Il_Forno_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL76_JadeRestaurant_1.webp.webp,,,
25535,LL124,Soy To Chutney,Your home to contemporary international cusine,dining,"{amenities=[air-conditioned, wifi], dish-speciality=[seafood, curry, poultry], design=[basic-design], dining-type=[casual-dining], channel=[take-away, online-order, dine-in], cuisine=[chinese-cuisine, indian-cuisine, north-indian-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly, kid-friendly], customer_service_tags=[delivery-services, booking-and-reservations, friendly-staff], restaurant-type=[restaurant], restaurant-specifics=[themed-restaurant]}",,28-11-2021,31-07-2025,FALSE,Get 10% off at Soy to Chutney,chinese-cuisine|accepts-cards|large-group-friendly|seafood|take-away|couple-friendly|indian-cuisine|themed-restaurant|restaurant|average-pricing|online-order|delivery-services|booking-and-reservations|air-conditioned|basic-design|wifi|north-indian-cuisine|dine-in|curry|casual-dining|kid-friendly|poultry|friendly-staff,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL124_Soy_To_Chutney_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL124_Soy_To_Chutney_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL124_Soy_To_Chutney_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL125_Spaccanapoli_Ristorante_Crowne_Plaza_Abu_Dhabi_2.webp.webp,,,
25542,LL143,Vibe - Mgallery By Sofitel,"Offering a la carte and buffet options for breakfast, lunch and dinner, explore a selection of delicious healthy dishes prepared in the open kitchens, enjoy freshly squeezed juices throughout the day from the specialist juice bar, as you admire the spectacular views out over the shoreline.",dining,"{amenities=[outdoor-seating, serves-alcohol-full-bar, wifi], famous-for=[dine-with-a-view, breakfast], dish-speciality=[vegan, gluten-free], design=[modern-design], dining-type=[fine-dining], channel=[dine-in], cuisine=[general], price_range=[luxury], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly, kid-friendly], customer_service_tags=[valet-parking, booking-and-reservations], restaurant-type=[restaurant]}",,16-09-2021,31-08-2025,FALSE,Get 20% off on Food at Vibe Restaurant,outdoor-seating|valet-parking|vegan|accepts-cards|large-group-friendly|serves-alcohol-full-bar|couple-friendly|modern-design|dine-with-a-view|fine-dining|breakfast|restaurant|gluten-free|booking-and-reservations|general|wifi|dine-in|kid-friendly|luxury|wifi,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL143_Vibe_Mgallery_By_Sofitel_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL143_Vibe_Mgallery_By_Sofitel_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL143_Vibe_Mgallery_By_Sofitel_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL144_Vincents_Crowne_Plaza_Abu_Dhabi_1.webp.webp,,,
25545,LL40,Chapters - Mgallery By Sofitel,"Chapters, is a great place to socialise over a morning coffee or to enjoy the peaceful surroundings and read a book from our library as you enjoy afternoon tea.",dining,"{famous-for=[afternoon-tea], amenities=[wifi], dining-type=[casual-dining], design=[modern-design], channel=[dine-in, take-away], cuisine=[general], price_range=[premium], payment=[accepts-cards], customer_service_tags=[valet-parking], restaurant-type=[cafe]}",,16-09-2021,31-08-2025,FALSE,Get 20% off on Food at Chapters Restaurant,cafe|valet-parking|general|afternoon-tea|wifi|premium|accepts-cards|dine-in|casual-dining|take-away|modern-design|24-by-7,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL40_Chapters_Mgallery_By_Sofitel_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL40_Chapters_Mgallery_By_Sofitel_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL40_Chapters_Mgallery_By_Sofitel_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL41_1_Charleys_Philly_Steaks_Offer.webp.webp,s4,,y
25546,LL15,Bait Al Nakhla - Mgallery By Sofitel,"Bait Al Nakhla offers dine-in guests with stunning and sweeping views of the Dubai skyline, enjoyed within the comforts of the elegant dining venue.",dining,"{amenities=[outdoor-seating, serves-alcohol-full-bar], famous-for=[dinner], design=[modern-design], dining-type=[fine-dining], channel=[take-away, dine-in], cuisine=[middle-eastern-cuisine, arabian-cuisine], price_range=[premium], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly], customer_service_tags=[booking-and-reservations], restaurant-type=[restaurant]}",,16-09-2021,31-08-2025,FALSE,Get 20% off on Food at Bait Al Nakhla Restaurant,outdoor-seating|accepts-cards|large-group-friendly|serves-alcohol-full-bar|take-away|couple-friendly|modern-design|fine-dining|restaurant|middle-eastern-cuisine|dinner|booking-and-reservations|premium|dine-in|arabian-cuisine,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL15_Bait_Al_Nakhla_Mgallery_By_Sofitel_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL15_Bait_Al_Nakhla_Mgallery_By_Sofitel_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL15_Bait_Al_Nakhla_Mgallery_By_Sofitel_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL16_Barocco_Restaurant_Royal_Rose_Hotel_Abu_Dhabi_1.webp.webp,,,y
25550,LL63,Gerard Cafe,"Open since 1981, Gerard Cafe is a French coffee shop, gathering three Four generations of coffee lovers.",dining,"{dining-type=[casual-dining], design=[modern-design], channel=[dine-in], price_range=[average-pricing], cuisine=[general], payment=[accepts-cards], suitable_for_tags=[large-group-friendly], restaurant-type=[cafe]}",,01-10-2021,31-12-2025,FALSE,Get 15% off on Food at Gerard Cafe,average-pricing|cafe|general|accepts-cards|dine-in|large-group-friendly|casual-dining|outdoor-seating|kid-friendly|take-away|pasta|dessert,Abu Dhabi,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL63_Gerard_Cafe_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL63_Gerard_Cafe_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL63_Gerard_Cafe_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL65_GustiRestaurant-SheratonSharjahBeachResort&Spa_1.webp.webp,y,,
